ISP,Country,ASN
PTCyberNetworkIndonesia,ID,AS38496 PT Cyber Network Indonesia
MediaAntarNusaPT.,,
PTXLAxiataTbk,ID,AS17885 PT XL Axiata Tbk
Linknet,BR,AS268122 Link Net Telecomunicações Ltda - ME
PT.AdeaksaIndoJayatama,ID,AS138123 PT. ADEAKSA INDO JAYATAMA
PTJunindo,ID,AS139969 PT JUNINDO
PTCitraJelajahInformatika,ID,AS131717 PT Citra Jelajah Informatika
MyRepublicID,ID,AS63859 PT. Eka Mas Republik
PTAngkasaBintanCemerlang,ID,AS147095 PT Angkasa Bintan Cemerlang
PTGigaPatraMultimedia,ID,AS59282 PT Giga Patra Multimedia
JARINDO,ID,AS136879 PT. Media Jaringan Indonesia
OrangeRomania,RO,AS8953 Orange Romania S.A.
VodafoneRomania,RO,AS12302 Vodafone Romania S.A.
DigiRomaniaBusiness,RO,AS8708 RCS & RDS
NetprotectSrl,RO,AS31362 NETPROTECT SRL
DigiRomania,RO,AS8708 RCS & RDS
IPP-burkina,BF,AS37073 Internet Puissance Plus Burkina SA
HorizonTelecomInternationalCompanyLimited,MM,AS132148 HORIZON TELECOM INTERNATIONAL COMPANY LIMITED
OceanWaveCommunicationCo.,MM,"AS136442 Ocean Wave Communication Co., Ltd"
AstSystemTechnologyCompanyLimited,MM,AS137826 AST SYSTEM TECHNOLOGY COMPANY LIMITED
GNECompanyLimited,,
InternetMaekhongNetworkCompanyLimited,MM,AS135589 Internet Maekhong Network Company Limited
MAURITEL,MR,AS29544 Mauritanian Telecommunication Company
MATTEL,MR,AS37508 MATTEL
TeleSur,SR,AS27775 Telecommunicationcompany Suriname - TeleSur
GlobalNet,TN,AS37671 3S INF
Ste-internet-smart-solutions,,
OrangeTunisie,TN,AS37492 Orange Tunisie
Tunisie-Telecom,TN,AS327934 SOCIETE NATIONALE DES TELECOMMUNICATIONS (Tunisie Telecom)
Hexabyte,TN,AS37719 Hexabyte
ATI-ISP,TN,AS31245 ATI - Agence Tunisienne Internet
TOPNET,TN,AS37705 TOPNET
EL-Khawarizmi,TN,AS37717 Centre de Calcul El Khawarizmi
OrangeInternet,TN,AS37492 Orange Tunisie
Globalnet,TN,AS37671 3S INF
Epitiro,TN,AS37719 Hexabyte
OoredooTunisia,TN,AS37693 OOREDOO TUNISIE SA
Tunet,TN,AS37693 OOREDOO TUNISIE SA
TunisiaBackBone,TN,AS2609 Tunisia BackBone AS
VideotronLtee,CA,AS5769 Videotron Telecom Ltee
UniversiteLaval,CA,AS36786 Universite Laval
RogersCable,CA,AS812 Rogers Communications Canada Inc.
SoftLayerTechnologies,,
DigitalOcean,US,"AS14061 DigitalOcean, LLC"
BellCanada,CA,AS577 Bell Canada
ShawCommunications,CA,AS6327 Shaw Communications Inc.
CogentCommunications,IQ,AS209193 SUPER CELL NETWORK FOR INTERNET SERVICES LTD
VirginMobileDSL,CA,AS577 Bell Canada
OracleCloud,CA,AS31898 Oracle Corporation
CogecoCable,CA,AS7992 Cogeco Cable
OVHSAS,FR,AS16276 OVH SAS
BellMTS,CA,AS7122 Bell Canada
Touch-IT,ZA,AS37611 Afrihost (Pty) Ltd
SWAZINET,SZ,AS19711 SWAZILAND PTC
SwaziMobile,SZ,AS328169 Swazi Mobile Limited
PartnerCommunications,IL,AS12400 Partner Communications Ltd.
ITCNGltd,IL,AS202940 ITC NG ltd
Bezeq,IL,AS8551 Bezeq International-Ltd
099PrimoCommunicationsLtd,IL,AS8948 099 PRIMO COMMUNICATIONS LTD
TripleCCloudComputingLtd.,IL,AS50463 Triple C Cloud Computing Ltd.
Cellcom,IL,AS1680 Cellcom Fixed Line Communication L.P.
HOTnet,IL,AS12849 Hot-Net internet services Ltd.
Bezek,IL,AS6810 Bezeq- THE ISRAEL TELECOMMUNICATION CORP. LTD.
XFone018,IL,AS47956 XFone 018 Ltd
EDISGmbH,IL,AS61102 Interhost Communication Solutions Ltd.
AmitNetTelecomLTD,IL,AS60886 Amit Net Telecom LTD
TelemGroup,SX,AS27781 SMITCOMS N.V.
TelcellNv,SX,AS27781 SMITCOMS N.V.
CaribServeBroadband,SX,AS27734 New Technologies Group N.V.
Viettel-burundi,VN,AS7552 Viettel Group
CBINETBurundi,BI,AS25429 CBINET Burundi
Orange,MA,AS36925 MEDITELECOM
SFR,RE,AS49902 SOCIETE REUNIONNAISE DU RADIOTELEPHONE SCS
Digitel-Holdings,SS,AS328755 Digitel Holdings Limited
Tencentcloudcomputing,CN,AS45090 Shenzhen Tencent Computer Systems Company Limited
ChinaMobile,,
ChinaTelecom,CN,AS4134 CHINANET-BACKBONE
ChinaUnicom,CN,AS4837 CHINA UNICOM China169 Backbone
GOMalta,MT,AS15735 GO p.l.c.
EpicCommunicationsLtd,MT,AS33874 Epic Communications Limited
Melita,MT,AS12709 Melita Limited
Elsa-Tech,AL,AS208734 Muhamet Grajqevci trading as Elsa-Tech
IPKOTelecommunicationsLLC,XK,AS21246 IPKO Telecommunications LLC
KujtesaNetSh.p.k.,XK,AS29170 Kujtesa Net Sh.p.k.
TelCommunicationsL.L.C.,RS,AS47588 TEL COMMUNICATIONS L.L.C.
POSTLuxembourg,LU,AS6661 POST Luxembourg
LuxembourgOnline,LU,AS8632 Luxembourg Online S.A.
LuxGreenTechnologiesSarl,DE,AS41589 Lux Green Technologies Sarl
TFnets.r.o.,CZ,AS202895 TFnet s.r.o.
O2CzechRepublic,CZ,"AS5610 O2 Czech Republic, a.s."
WMSs.r.o.,CZ,AS47493 WMS s.r.o.
Nej.czs.r.o.,CZ,AS12570 Nej.cz s.r.o.
Megacom-itLLC,RU,AS44587 MEGACOM-IT LLC
CETINa.s.,CZ,AS28725 CETIN a.s.
"NETAIR,s.r.o.",CZ,"AS44065 NETAIR, s.r.o."
ADAPTIVITYs.r.o.,CZ,AS6740 ADAPTIVITY s.r.o.
DelisLLC,NL,AS211252 Delis LLC
"GiTy,a.s.",CZ,"AS29086 GiTy, a.s."
HELIOSMBs.r.o.,CZ,AS57728 HELIOS MB s.r.o.
AmigoNets.r.o.,CZ,AS59970 AmigoNet s.r.o.
"Quantcom,a.s.",CZ,"AS29208 Quantcom, a.s."
VodafoneCzechRepublic,CZ,AS16019 Vodafone Czech Republic a.s.
PODAa.s.,CZ,AS30764 PODA a.s.
CableBahamas,BS,AS15146 Cable Bahamas
PowerNetLiberia,LR,AS328196 POWERNET
Digicom,AL,AS35444 Digicom SHPK
ArtmotionSh.p.k.,AL,AS33983 ARTMOTION SH.P.K.
VodafoneAlbania,AL,AS21183 Vodafone Albania Sh.A.
Tele.Co.AlbaniaSHPK,AL,AS199276 Tele.Co.Albania SHPK
Diginetshpk,AL,AS6843 Diginet shpk
OneTelecommunicationssh.a.,AL,AS50616 One Telecommunications sh.a.
ALBtelecom,AL,AS42313 Albtelecom Sh.a.
KujtesaNetSh.p.k.,XK,AS29170 Kujtesa Net Sh.p.k.
Mobitelsh.p.k.,AL,AS60471 Mobitel sh.p.k.
AlbanianTelecommunicationsUnionSH.P.K.,AL,AS198279 Albanian Telecommunications Union SH. P.K.
NisatelLTD,AL,AS29238 Nisatel LTD
SKYELBASANsh.p.k,AL,AS210003 SKY ELBASAN sh.p.k
Netsyscomsh.p.k,AL,AS212766 Netsyscom sh.p.k
TiboCommunicationsSh.p.k,AL,AS39611 TIBO COMMUNICATIONS SH.P.K
Abissnetsh.a.,AL,AS35047 Abissnet sh.a.
StarnetSh.p.k.,AL,AS60304 Starnet Sh.p.k.
NEWAVE,AL,AS207876 Roland Delia trading as NEWAVE
FIRST.COM,AL,AS205244 Artur Imeraj trading as FIRST.COM
BletaSh.p.k,AL,AS196838 Bleta Sh.p.k
AptCableShpk,AL,AS209277 APT CABLE SHPK
TelKosL.L.C,XK,AS206262 TelKos L.L.C
AlbanianSatelliteCommunicationssh.p.k.,AL,AS47394 Albanian Satellite Communications sh.p.k.
UniqueAtlanticTelecommunication,AF,AS133076 Unique Atlantic Telecommunication
AfghantelecomGovernmentCommunicationNetwork,AF,AS55330 AFGHANTELECOM GOVERNMENT COMMUNICATION NETWORK
GlobalEntourageServices,AF,AS58427 Global Entourage Services
AfghanWireless,AF,AS38742 AWCC
TristarIsp,,
RahanetInternetServiceProvider,AF,AS135376 Rahanet Internet Service Provider
AFSAT,AF,AS133894 Easy Connect- ISP
AsiaConsultancyGroup,AF,AS136400 Asia Consultancy Group
IoGlobalServicesPvt.Limited,AF,AS17411 Io Global Services Pvt. Limited
EtisalatAfghanistan,AF,AS131284 Etisalat Afghan
NedaTelecommunications,AF,AS55745 Neda Telecommunications
AfghanCyberISP,AF,AS59317 Afghan Cyber ISP
StarkTelecom,AF,AS137975 Stark Telecom
AmooNetTechnologyServices,AF,AS141355 Amoo Net Technology Services
CypkingNetwork&CommunicationLtd,CY,AS201241 Cypking Network & Communication Ltd
LifecellDigitalLtd,CY,AS202254 LIFECELL DIGITAL LTD
PrimetelPLC,CY,AS16229 Primetel PLC
NationalAcademicNetworkandInformationCenter,CY,AS31689 Eastern Mediterranean University
BroadmaxIletisimLtd,CY,AS48953 Broadmax Iletisim Ltd
ExtendBroadband,CY,AS43242 Aydogan Communication LTD.
CablenetCommunicationSystemsplc,CY,AS35432 Cablenet Communication Systems plc
AirtelDRC,CD,AS37020 CELTEL DRC
OrangeRDC,,
AntelUruguay,UY,AS6057 Administracion Nacional de Telecomunicaciones
Orange,,
MartiniqueTVCableSAS,FR,AS20776 Outremer Telecom SASU
OutremerTelecomSASU,FR,AS20776 Outremer Telecom SASU
Mediaserv,RE,AS21351 Canal + Telecom SAS
AXSBoliviaS.A.,BO,AS26210 AXS Bolivia S. A.
TigoBolivia,BO,AS27882 Telefónica Celular de Bolivia S.A.
EntelBolivia,BO,AS6568 Entel S.A. - EntelNet
DigitalTVCABLEDEEDMUNDS.R.L.,BO,AS262159 Digital TV CABLE DE EDMUND S.R.L.
ComtecoLtda,BO,AS27839 Comteco Ltda
CotelLtda.,BO,AS52495 Cotel Ltda.
CidisCamiri,BO,AS265814 CIDIS CAMIRI
AgenciaNacionaldeHidrocarburos,BO,AS264747 Agencia Nacional de Hidrocarburos
COTAS,BO,AS25620 COTAS LTDA.
ComfortXXICenturyLtd.,UA,AS204144 Comfort XXI Century Ltd.
16XNetwork,,
Nova-serviceLtd,UA,AS205013 NOVA-SERVICE LTD
Briz,UA,AS34661 BREEZE NETWORK
PETsibrankovKonstantinIgorevich,UA,AS48004 PE Tsibrankov Konstantin Igorevich
UATELPE,UA,AS205673 UATEL PE
Orange-Net.ru,,
TOVTV&RadioCompany'TIM',UA,AS41096 TOV TV&Radio Company 'TIM'
LimitedLiabilityCompanyRadioNetwork,UA,AS198820 Limited Liability Company Radio Network
FOPMakurinStanislavVolodimirovich,UA,"AS42510 FOP ""Makurin Stanislav Volodimirovich"""
Luganet,UA,AS39728 Likhno Dmitriy trading as Luganet
FregatTVLtd.,UA,AS15377 Fregat TV Ltd.
It-investLtd,UA,AS50864 IT TeleNet Ltd.
TernivskeTelebachennyaLTD,UA,AS51995 Ternivske Telebachennya LTD
PEUAinet,UA,AS50648 PE UAinet
PPPodilskyIntelectualnisistemy,UA,AS49461 PP Podilsky Intelectualni sistemy
CrystalTelecomLtd,UA,AS49889 Crystal Telecom Ltd
LanetNetworkLtd,UA,AS49332 Lanet Network Ltd
PrivateJoint-stockCompanyfarlep-invest,,
YaremenkoO.V.,UA,AS39422 Yaremenko O.V.
LLCInovatsiyniTelekomunikatsii,UA,AS44443 LLC Inovatsiyni Telekomunikatsii
KompeatelecomLtd.,UA,AS59815 Kompeatelecom Ltd.
DonbassElectronicCommunicationsLtd.,UA,AS20590 Donbass Electronic Communications Ltd.
ISPShtormLTD,UA,AS31725 ISP Shtorm LTD
SPKazakovViktorAleksandrovich,UA,AS200702 SP Kazakov Viktor Aleksandrovich
UkrchermetavtomatikaLLC,UA,AS44894 Ukrchermetavtomatika LLC
PimonenkoSergey,UA,AS197058 Pimonenko Sergey
AgronetLLC,UA,AS50949 Agronet LLC
LLCfticom,UA,AS41039 LLC FTICOM
LLCMcLaut-Invest,,
EverestTvAndRadioCompanyLLC,UA,AS49223 EVEREST TV AND RADIO COMPANY LLC
SPDChernegaAleksandrAnatolevich,UA,AS56400 SPD Chernega Aleksandr Anatolevich
TrkTvoe-tvLLC,UA,AS41308 TRK TVOE-TV LLC
Giganet,BR,AS267686 TELCAB ARGENTINA S.A
KtkTelecomLLC,UA,AS203561 KTK TELECOM LLC
TOVInternetonthePodol,,
Inmart.uaLLC,UA,AS196767 INMART.UA LLC
ProlineTMLtd.,UA,AS35530 Proline TM Ltd.
NSCKIPT,UA,AS35296 NSC KIPT
NPKHome-NetLtd.,UA,AS24812 NPK Home-Net Ltd.
EurotranstelecomLtd,UA,AS35320 Eurotranstelecom Ltd
TeleradiocompanyNadezhdaLtd,,
PrivateEnterpriseTronVitaliyVladimirovich,UA,AS51725 Private Enterprise Tron Vitaliy Vladimirovich
NewInformationSystemsPP,UA,AS41820 New Information Systems PP
PPIF-IX,UA,AS50211 PP IF-IX
LimitedLiabilityCompanyAVATORISP,UA,AS205318 Limited Liability Company AVATOR ISP
VodafoneUkraine,UA,AS21497 PrJSC VF UKRAINE
KNOPKA-NET,UA,AS44866 FOP Fedasiuk Oksana Petrivna
FreenetLTD,UA,AS31148 Freenet LTD
ArdinvestLTD,UA,AS196705 Ardinvest LTD
VOMLLC,UA,AS35586 VOLYN OPTICAL NETWORKS LLC
NashnetLtd,UA,AS34743 NASHNET LTD
Elektron-ServiceLLC.,UA,AS57102 Elektron-Service LLC.
AlexeyGeiner,RU,AS44533 Alexey Geiner
LAN-Telecom,UA,AS58199 FLP Lialiuk Andrey Nikolaevich
TvoiNetLtd.,UA,AS47359 Tvoi Net Ltd.
Miranda-Media,UA,AS201776 Miranda-Media Ltd
FOPSamoylenkoOleksandrVolodymirovich,UA,AS48411 FOP Samoylenko Oleksandr Volodymirovich
FOPRazin,UA,AS207123 FOP Razin
F.O.C.S.PC,UA,AS205673 UATEL PE
PrivateenterpriseGorbunovA.A.,UA,AS41081 Private enterprise Gorbunov A.A.
VidMediaLtd.,UA,AS60839 Vid Media Ltd.
PrivateJointStockCompanydatagroup,UA,AS3326 PRIVATE JOINT STOCK COMPANY DATAGROUP
IN-LAN,IN,AS18002 AS Number for Interdomain Routing
MaximumNet,UA,AS43139 Maximum-Net LLC
BCM,UA,AS48437 PP Merezha
TeleradiocompanyTeleLanLLC,UA,AS196740 Teleradiocompany TeleLan LLC
ZahidnaMultyservisnaMerezha,UA,"AS41244 Zahidna Multyservisna Merezha, LLC"
SK-NET,KR,AS9318 SK Broadband Co Ltd
PROLVLLtd.,UA,AS209863 PROLVL Ltd.
LLCRenome-Service,UA,AS34187 LLC Renome-Service
ISPMageal,UA,AS30822 Dubrovskaya Nataliya Vladislavovna
Linknet,UA,AS42350 Kupar Igor Yuryevich
"Net-City,LLC",PK,AS17539 NetSol Connect
IPORTLLC,UA,AS16044 IPORT LLC
VitelecomLLC,UA,AS204461 VITELECOM LLC
UkrainianTelecommunicationGroupLLC,UA,AS50581 Ukrainian Telecommunication Group LLC
ContentDeliveryNetworkLtd,UA,AS13188 CONTENT DELIVERY NETWORK LTD
OsokorkyOnlineLLC,,
LLCRivneTelecom,UA,AS49883 LLC Rivne Telecom
PCMediaZmijov,UA,AS56526 PC Media Zmijov
RIAInfoPlanshetMediaLtd,UA,AS51937 RIA InfoPlanshetMedia Ltd
InfostroyLLC,UA,AS208397 INFOSTROY LLC
X-CityLtd.,ID,AS24203 PT XL Axiata
TOVGlobal-NET,UA,AS56610 TOV Global-NET
lifecell,CY,AS202254 LIFECELL DIGITAL LTD
ChebotarevVitaliyValerievichPE,,
ITTeleNetLtd.,UA,AS50864 IT TeleNet Ltd.
"TriLogiCGroup,Ltd.",UA,"AS15458 TriLogiC Group, Ltd."
"Limnet,LLC",UA,"AS207830 LIMNET , LLC"
VedekonLtd,UA,AS35795 Vedekon Ltd
PPKOMiTEX,UA,AS30886 PP KOM i TEX
InfomirLLC,UA,AS44291 Infomir LLC
UkranianOpticalSystemsAndTechnologiesLLC,UA,AS42546 UKRANIAN OPTICAL SYSTEMS AND TECHNOLOGIES LLC
LLCTelekompaniyaRegion,UA,AS51993 LLC Telekompaniya Region
WildParkCo,UA,AS31272 WildPark Co
IndividualEntrepreneurTetianaMarkova,UA,AS34065 Individual Entrepreneur Tetiana Markova
SimStarLLC,UA,AS197152 SimStar LLC
DatalineLLC,UA,AS35297 Dataline LLC
RadioServiceLtd.,UA,AS3255 State Enterprise Scientific and Telecommunication Centre Ukrainian Academic and Research Network of the Institute for Condensed Matter Physics of the National Academy of Science of Ukraine (UARNet)
MalaYuliiaViktorivna,UA,AS206975 Mala Yuliia Viktorivna
PEBilkeyAndreyYosypovych,UA,AS204549 PE Bilkey Andrey Yosypovych
WiNetLLc,UA,AS212604 WiNet LLc
KingNet,UA,AS44321 Khozinskyi Vadym Anatolievich
HATANETLtd,UA,AS196863 HATANET Ltd
ScienceProductionEnterpriseSolverLtd,UA,AS15461 Science Production Enterprise Solver Ltd
PrivateStockcompanySater,UA,"AS29107 Private ""Stock company ""Sater"""
NTServiceLtd,UA,AS35731 NT Service Ltd
Selidovo,UA,AS205048 PE Akhremenko Sergiy Victorovich
TelecompanyLiSLTD,UA,AS35588 Telecompany LiS LTD
It-starcomLLC,UA,AS56354 IT-INVEST LTD
PrivateEnterpriseRadioNet,UA,AS39199 Private Enterprise RadioNet
LLCInternet-Service,UA,AS209927 LLC Internet Service
PJSCIndustrialMediaNetwork,UA,AS25521 PJSC Industrial Media Network
GigabitGroup,UA,AS43633 Gigabit-Online LLC
LLCRadiotechichnaLaboratoriya,,
BystrovDmitriySergeevich,UA,AS34047 Bystrov Dmitriy Sergeevich
NEOCOMLtd.,UA,AS41360 NEOCOM Ltd.
PPIV-COM,UA,AS51622 PP IV-COM
uaVPS,UA,AS25229 Kyivski Telekomunikatsiyni Merezhi LLC
Miranda-MediaLtd,UA,AS201776 Miranda-Media Ltd
KononenkoDenisYurievich,UA,AS43875 Kononenko Denis Yurievich
PJSCUkrtelecom,UA,AS6849 PJSC Ukrtelecom
CompanywithadditionalresponsibilityCompanyBES,UA,AS35362 Company with additional responsibility Company BEST
DCTelLtd,UA,AS25150 DCTel Ltd
KukushkinAnatolyValerievich,UA,AS198253 Kukushkin Anatoly Valerievich
PCAstra-net,UA,AS49824 PC Astra-net
Volia,UA,AS25229 Kyivski Telekomunikatsiyni Merezhi LLC
NVP-ConnectLtd.,UA,AS31388 NVP-Connect Ltd.
"Lux.net,LLC",UA,"AS43175 LUX.NET, LLC"
TOVHighloadSystems,UA,AS34259 TOV Highload Systems
DatacampLimited,US,AS212238 Datacamp Limited
SatelliteLtd,UA,AS21310 Satellite Ltd
TERA-COM,,
ISPNewLine,UA,AS48595 IE Parhomenko Aleksey Aleksandrovich
LLCUgtelekomgrup,UA,"AS57962 LLC "" Ug telekom grup """
Triolan,UA,AS13188 CONTENT DELIVERY NETWORK LTD
VinAsterisk,UA,"AS21228 VINASTERISK, PP"
LuganskTelephoneCompany,UA,AS29031 Lugansk Telephone Company
KichkasNetworkLtd.,UA,AS42714 Kichkas Network Ltd.
KostikYuri,UA,AS208791 Kostik Yuri
StateEnterpriseScientificandTelecommunication,UA,AS3255 State Enterprise Scientific and Telecommunication Centre Ukrainian Academic and Research Network of the Institute for Condensed Matter Physics of the National Academy of Science of Ukraine (UARNet)
NikolayVictorovichKucherukPE,UA,AS52180 Nikolay Victorovich Kucheruk PE
LancomLtd.,UA,AS35816 Lancom Ltd.
Rostelecom,RU,AS12389 PJSC Rostelecom
TRKSiriusLTD,UA,AS44710 TRK Sirius LTD
TENETScientificProductionEnterpriseLLC,UA,AS6876 TENET Scientific Production Enterprise LLC
MOBISNETltd.,UA,AS34399 MOBISNET ltd.
Kopiyka,UA,AS51500 Servisnet Ltd.
VostokLtd.,UA,AS29688 Vostok Ltd.
ALFATELECOMs.r.o.,UA,AS43656 KP Intertelecom Ltd
FOPPetrenkoPavloMukolayovuch,UA,AS56652 FOP Petrenko Pavlo Mukolayovuch
bNet,UA,AS41820 New Information Systems PP
LLCvechirTelecom,UA,AS49561 LLC VECHIR TELECOM
NastekaMaksimViktorovich,UA,AS211101 Nasteka Maksim Viktorovich
FO-PGromovEvgeniyViktorovich,UA,AS48411 FOP Samoylenko Oleksandr Volodymirovich
Fiberlink,PK,AS55714 Fiberlink Pvt.Ltd
ISPDiaNet,UA,AS60754 Dianet Ltd.
Kyivstar,UA,AS15895 Kyivstar PJSC
FOPKolesnichenkoNataliyaAnatoliivna,UA,AS44032 FOP Kolesnichenko Nataliya Anatoliivna
MakeevkaOnline,UA,AS45025 Online Technologies LTD
OmegaTelecomLLC,UA,AS199995 Omega Telecom LLC
TelecomunikatsiinaCompaniyaLtd,UA,AS49984 Telecomunikatsiina Companiya Ltd
BulsatcomEOOD,BG,AS43205 Bulsatcom EOOD
IPACCTCABLELtd,BG,AS31287 IPACCT CABLE Ltd
Nadejda.NetLtd,BG,AS42049 Nadejda.Net Ltd
Net-Surf.netLtd.,RU,AS12714 Net By Net Holding LLC
Vivacom,BG,AS8866 Bulgarian Telecommunications Company Plc.
KabelnaTeleviziaDeltaLtd.,,
ComnetBulgariaHoldingLtd.,BG,AS29084 Comnet Bulgaria Holding Ltd.
EtVeselinJelqzkov,BG,AS200475 ET VESELIN JELQZKOV
KRAKRAAD,BG,AS199048 KRAKRA AD
A1Bulgaria,BG,AS13124 A1 Bulgaria EAD
TelecommunicationCompanyVarnaEAD,BG,AS12796 Telecommunication Company Varna EAD
SaTelecable,BG,AS29030 Sa Telecable
CableInternetSystemsLtd.,BG,AS62106 Cable Internet Systems Ltd.
M-REALNETLtd.,MA,AS36903 Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM
ESCOMLtd.-Haskovo,BG,AS25374 ESCOM Ltd. - Haskovo
TamatiyaEOOD,BG,AS50360 Tamatiya EOOD
FlowTrinidad,TT,AS27665 Columbus Communications Trinidad Limited.
DigicelTrinidad&Tobago,TT,AS27800 Digicel Trinidad and Tobago Ltd.
RvrInternationalLimited,TT,AS263222 RVR INTERNATIONAL LIMITED
TelecommunicationServicesofTrinidadandTobago,TT,AS5639 Telecommunication Services of Trinidad and Tobago
MassyCommunicationsLtd,TT,AS27924 AMPLIA COMMUNICATIONS LTD.
stcKuwait,KW,AS47589 Kuwait Telecommunication Company (Under Association)
ZainKuwait,KW,AS42961 Mobile Telecommunications Company
HutchisonDreiAustriaGmbH,AT,AS8437 Hutchison Drei Austria GmbH
LIWESTKabelmedienGmbH,AT,AS12605 LIWEST Kabelmedien GmbH
ACONET,AT,AS1853 ACONET
A1TelekomAustria,AT,AS8447 A1 Telekom Austria AG
Tele2Estonia,EE,AS1257 Tele2 Sverige AB
ElisaEesti,EE,AS2586 Elisa Eesti AS
TeliaEesti,EE,AS3249 Telia Eesti AS
MarshallIslandsNtaIsp,MH,AS24439 MARSHALL ISLANDS NTA ISP AS
OrangeEgypt,EG,AS37069 The Egyptian Company for Mobile Services (Mobinil)
NOL,EG,AS36992 ETISALAT MISR
Egypt-Centers,EG,AS30993 Egypt Centers
TelecomEgypt,EG,AS8452 TE-AS
LinkEgypt,EG,AS24863 Link Egypt (Link.NET)
eg-auc,EG,AS8524 The American University in Cairo (AUC)
NoorDataNetworks,EG,AS20928 The Noor Group
VodafoneEgypt,EG,AS24835 Vodafone Data
EtisalatMisr,EG,AS36992 ETISALAT MISR
GoogleCloud,FR,AS396982 Google LLC
GoeTelGmbH,DE,AS39835 GoeTel GmbH
TELTACitynetzGmbH,DE,AS21032 TELTA Citynetz GmbH
VodafoneGermanyBusiness,DE,AS3209 Vodafone GmbH
VersatelDeutschland,DE,AS8881 1&1 Versatel Deutschland GmbH
PYUR,DE,AS16202 Tele Columbus AG
VodafoneGermany,DE,AS3209 Vodafone GmbH
DeutschesForschungsnetz,DE,AS680 Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
O2Deutschland,,
CloudflareWarp,FR,"AS13335 Cloudflare, Inc."
"CenturyLinkCommunications,LLC",DE,AS211138 Private-Hosting di Cipriano oscar
MicrosoftCorporation,US,AS8075 Microsoft Corporation
UABBiteLietuva,LV,AS34549 meerfarbig GmbH & Co. KG
Linode,GB,"AS63949 Linode, LLC"
HetznerOnlineGmbH,FI,AS24940 Hetzner Online GmbH
EVANZOe-commerceGmbH,DE,AS42730 EVANZO e-commerce GmbH
UK2.NET,US,AS13213 UK-2 Limited
SWNStadtwerkeNeumuensterGmbH,DE,AS207790 SWN Stadtwerke Neumuenster GmbH
ITP-SolutionsUG&Co.KG,,
DeutscheTelekomAG,DE,AS3320 Deutsche Telekom AG
1&1InternetAG,DE,AS8560 IONOS SE
TELEAG,DE,AS58243 TELE AG
ArtfilesNewMediaGmbH,,
ContaboGmbH,DE,AS51167 Contabo GmbH
DeutscheGlasfaser,DE,AS60294 Deutsche Glasfaser Wholesale GmbH
Amazon.com,FR,"AS16509 Amazon.com, Inc."
DigitalOcean,US,"AS14061 DigitalOcean, LLC"
SYNLINQ,DE,AS44486 Oliver Horscht is trading as SYNLINQ
M247Ltd,US,AS9009 M247 Ltd
TeleDataGmbH,DE,AS21263 TeleData GmbH
InvitechICTServicesKft.,HU,AS12301 Invitech ICT Services Kft.
Vidanet,HU,AS43529 ViDaNet Cabletelevision Provider Ltd.
VodafoneHungary,HU,AS21334 Vodafone Hungary Ltd.
MagyarTelekom,HU,AS5483 Magyar Telekom plc.
TarrKft.,HU,AS8462 Tarr Kft.
EurocableLtd,HU,AS208708 Eurocable Ltd
TelenorHungary,HU,AS213155 Yettel Hungary Ltd.
CETINHungaryZrt.,HU,AS8448 CETIN Hungary Zrt.
GiganetInternetSzolgaltatoKft,HU,AS42864 Giganet Internet Szolgaltato Kft
DigiTV,HU,AS20845 DIGI Tavkozlesi es Szolgaltato Kft.
ZNETTelekomZrt.,HU,AS33947 WLA Interservice Ltd.
CloudflareWarp,DE,"AS13335 Cloudflare, Inc."
OPCNetworksKft.,,
ANTENNAHUNGARIAMagyarMusorszoroesRadiohirkozl,HU,AS8990 ANTENNA HUNGARIA Magyar Musorszoro es Radiohirkozlesi Zartkoruen Mukodo Reszvenytarsasag
PARISATTavkozlesiesSzolgaltatoKorlatoltFelelo,HU,AS42232 PARISAT Tavkozlesi es Szolgaltato Korlatolt Felelossegu Tarsasag
GITGE,GQ,AS37529 Gestora de Infraestructuras de Telecomunicaciones de Guinea Ecuatorial
IPXEG,GQ,AS37512 IPX Equatorial Guinea S.A
Office-tech,GQ,AS328207 OFFICE TECH
HITS-EG,GQ,AS37337 MUNI S.A
MobileTeleSystemsJLLC,BY,AS25106 Mobile TeleSystems JLLC
A1Belarus,BY,AS42772 Unitary enterprise A1
PrivateservicesUnitaryEnterpriseVashInternet,BY,AS50294 Private services Unitary Enterprise Vash Internet
LinerLimitedLiabilityCompany,BY,AS62208 Liner Limited Liability Company
Beltelecom,BY,AS6697 Republican Unitary Telecommunication Enterprise Beltelecom
JoinstockGrodnoRegionalTechnoCommercialCentr,BY,AS50334 Join stock Grodno Regional Techno Commercial Centre GARANT
GomelskyRTSCGarantJSC,BY,AS42772 Unitary enterprise A1
BusinessNetworkLtd,BY,AS12406 Business Network Ltd
PeredovieTehnologiiVitebsk,BY,AS50929 Company with additional Liability Advanced Technology
BeSTCJSC,BY,AS44087 BeST CJSC
PELINIISVYAZI,BY,AS6697 Republican Unitary Telecommunication Enterprise Beltelecom
UnitaryenterpriseA1,BY,AS42772 Unitary enterprise A1
ISPGARANT-CATV-GOMEL,,
TVSATplusLtd.,BY,AS59860 TVSAT plus Ltd.
Telecom-garantLimited,EG,AS8452 TE-AS
